('TRECORDINFO1', 'ICD_BILLLOG1', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO2', 'ICD_BILLLOG2', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO3', 'ICD_BILLLOG3', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO4', 'ICD_BILLLOG4', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO5', 'ICD_BILLLOG1', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO6', 'ICD_BILLLOG2', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 2147483645, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'YES', 'DEFAULT')
('TRECORDINFO7', 'ICD_BILLLOG3', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO8', 'ICD_BILLLOG4', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO9', 'ICD_BILLLOG1', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
('TRECORDINFO10', 'ICD_BILLLOG2', None, None, 'VALID', 10, None, 1, 255, 20971520, 20971520, 1, 500, 0, None, None, 'YES', 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'NO', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', 'DISABLED', None, 'NO', 'NO', 'NO', 'DEFAULT')
